0|iata_code|1|name_rus|2|name_eng|3|city_rus|4|city_eng|5|country_rus|6|latitude|7|longitude
ABY|ABY|||Dougherty County|Dougherty County|Îëáàíè|Îëáàíè|Albany|Albany|ÑØÀ|ÑØÀ|31.535515|31.535515|-84.194473|-84.194473
ABZ|ABZ|||Dyce|Dyce|||Aberdeen|Aberdeen|Âåëèêîáðèòàíèÿ|Âåëèêîáðèòàíèÿ|57.201944|57.201944|-2.197778|-2.197778
ACB|ACB|||Antrim County|Antrim County|||Bellaire|Bellaire|ÑØÀ|ÑØÀ|44.988576|44.988576|-85.198355|-85.198355
ACC|ACC|Êîòîêà|Êîòîêà|Kotoka|Kotoka|||Accra|Accra|Ãàíà|Ãàíà|5.605186|5.605186|-0.166786|-0.166786
ACD|ACD|Àêàíäè|Àêàíäè|Acandi|Acandi|Àêàíäè|Àêàíäè|Acandi|Acandi|Êîëóìáèÿ|Êîëóìáèÿ|8.500|8.500|-73.633|-73.633
ACE|ACE|Ëàíöàðîòå|Ëàíöàðîòå|Lanzarote|Lanzarote|Àððåñèô|Àððåñèô|Arrecife|Arrecife|Èñïàíèÿ|Èñïàíèÿ|28.945464|28.945464|-13.605225|-13.605225
ACH|ACH|||Altenrhein|Altenrhein|||Altenrhein|Altenrhein|Øâåéöàðèÿ|Øâåéöàðèÿ|47.485033|47.485033|9.560775|9.560775
ACI|ACI|||The Blaye|The Blaye|Ýëäåðíè|Ýëäåðíè|Alderney|Alderney|Âåëèêîáðèòàíèÿ|Âåëèêîáðèòàíèÿ|49.706111|49.706111|-2.214722|-2.214722
ACJ|ACJ|Àíóðàäõàïóðà|Àíóðàäõàïóðà|Anuradhapura|Anuradhapura|Àíóðàäõàïóðà|Àíóðàäõàïóðà|Anuradhapura|Anuradhapura|Øðè-Ëàíêà|Øðè-Ëàíêà|32.110799|32.110799|-84.188848|-84.188848
ACK|ACK|||Nantucket Memorial|Nantucket Memorial|||Nantucket|Nantucket|ÑØÀ|ÑØÀ|41.253111|41.253111|-70.060306|-70.060306
ACL|ACL|||Aguaclara|Aguaclara|||Aguaclara|Aguaclara|Êîëóìáèÿ|Êîëóìáèÿ|4.749|4.749|-72.994|-72.994
ACM|ACM|Àðèêà|Àðèêà|Arica|Arica|Àðèêà|Àðèêà|Arica|Arica|Êîëóìáèÿ|Êîëóìáèÿ|-2.133|-2.133|-71.783|-71.783
ACN|ACN|||International|International|Ñèóäàä-Àêóíà|Ñèóäàä-Àêóíà|Ciudad Acuna|Ciudad Acuna|Ìåêñèêà|Ìåêñèêà|29.333917|29.333917|-101.100892|-101.100892
ACO|ACO|Àñêîíà|Àñêîíà|Ascona|Ascona|Àñêîíà|Àñêîíà|Ascona|Ascona|Øâåéöàðèÿ|Øâåéöàðèÿ|46.157778|46.157778|8.781944|8.781944
ACP|ACP|||Sahand|Sahand|||Sahand|Sahand|Èðàí|Èðàí|37.348017|37.348017|46.127903|46.127903
ACR|ACR|Àðàðàêóàðà|Àðàðàêóàðà|Araracuara|Araracuara|Àðàðàêóàðà|Àðàðàêóàðà|Araracuara|Araracuara|Êîëóìáèÿ|Êîëóìáèÿ|-0.601111|-0.601111|-72.397778|-72.397778
ACS|ACS|À÷èíñê|À÷èíñê|Achinsk|Achinsk|À÷èíñê|À÷èíñê|Achinsk|Achinsk|Ðîññèÿ|Ðîññèÿ|56.268333|56.268333|90.570833|90.570833
ACT|ACT|||Municipal|Municipal|Âàêî|Âàêî|Waco|Waco|ÑØÀ|ÑØÀ|31.611700|31.611700|-97.230284|-97.230284
ACU|ACU|Àõóòóïî|Àõóòóïî|Achutupo|Achutupo|Àõóòóïî|Àõóòóïî|Achutupo|Achutupo|Ïàíàìà|Ïàíàìà|9.183|9.183|-78.017|-78.017
ACV|ACV|||Arcata|Arcata|||Arcata|Arcata|ÑØÀ|ÑØÀ|40.978111|40.978111|-124.108611|-124.108611
ACX|ACX|||Xingyi|Xingyi|||Xingyi|Xingyi|Êèòàé|Êèòàé|25.155|25.155|104.971|104.971
ACY|ACY|||Atlantic City Intl|Atlantic City Intl|Àòëàíòèê Ñèòè|Àòëàíòèê Ñèòè|Atlantic City|Atlantic City|ÑØÀ|ÑØÀ|39.457583|39.457583|-74.577167|-74.577167
ACZ|ACZ|||Zabol A/P|Zabol A/P|Çàáîë|Çàáîë|Zabol|Zabol|Èðàí|Èðàí|31.098333|31.098333|61.543889|61.543889
ADA|ADA|Àäàíà|Àäàíà|Adana|Adana|Àäàíà|Àäàíà|Adana|Adana|Òóðöèÿ|Òóðöèÿ|36.982166|36.982166|35.280388|35.280388
ADB|ADB|||Adnan Menderes|Adnan Menderes|Èçìèð|Èçìèð|Izmir|Izmir|Òóðöèÿ|Òóðöèÿ|38.292392|38.292392|27.156953|27.156953
ADC|ADC|||Andakombe|Andakombe|||Andakombe|Andakombe|Ïàïóà - Íîâàÿ Ãâèíåÿ|Ïàïóà - Íîâàÿ Ãâèíåÿ|46.450270|46.450270|-95.210955|-95.210955
ADD|ADD|||Bole International|Bole International|Àääèñ Àáåáà|Àääèñ Àáåáà|Addis Ababa|Addis Ababa|Ýôèîïèÿ|Ýôèîïèÿ|8.977889|8.977889|38.799319|38.799319
ADE|ADE|Ìåæäóíàðîäíûé|Ìåæäóíàðîäíûé|International|International|Àäåí|Àäåí|Aden|Aden|Éåìåí|Éåìåí|12.829542|12.829542|45.028792|45.028792
ADF|ADF|||Adiyaman|Adiyaman|||Adiyaman|Adiyaman|Òóðöèÿ|Òóðöèÿ|37.731369|37.731369|38.468936|38.468936
ADG|ADG|||Lenawee County|Lenawee County|||Adrian|Adrian|ÑØÀ|ÑØÀ|41.867674|41.867674|-84.077306|-84.077306
ADH|ADH|Àëäàí|Àëäàí|Aldan|Aldan|Àëäàí|Àëäàí|Aldan|Aldan|Ðîññèÿ|Ðîññèÿ|58.602778|58.602778|125.408889|125.408889
ADI|ADI|||Arandis|Arandis|||Arandis|Arandis|Íàìèáèÿ|Íàìèáèÿ|-22.462223|-22.462223|14.980000|14.980000
ADJ|ADJ|||Marka International Airport|Marka International Airport|Àììàí|Àììàí|Amman|Amman|Èîðäàíèÿ|Èîðäàíèÿ|31.972703|31.972703|35.991569|35.991569
ADK|ADK|||Adak Island NS|Adak Island NS|||Adak Island|Adak Island|ÑØÀ|ÑØÀ|51.877964|51.877964|-176.646031|-176.646031
ADL|ADL|||Adelaide International Airport|Adelaide International Airport|Àäåëàèäà|Àäåëàèäà|Adelaide|Adelaide|Àâñòðàëèÿ|Àâñòðàëèÿ|-34.945000|-34.945000|138.530556|138.530556
ADM|ADM|||Ardmore Municipal Arpt|Ardmore Municipal Arpt|Àðäìîð|Àðäìîð|Ardmore|Ardmore|ÑØÀ|ÑØÀ|34.304250|34.304250|-97.020583|-97.020583
ADN|ADN|Àíäåñ|Àíäåñ|Andes|Andes|Àíäåñ|Àíäåñ|Andes|Andes|Êîëóìáèÿ|Êîëóìáèÿ|5.656|5.656|-75.879|-75.879
ADO|ADO|||Andamooka|Andamooka|||Andamooka|Andamooka|Àâñòðàëèÿ|Àâñòðàëèÿ|-30.437778|-30.437778|137.137222|137.137222
ADP|ADP|||Ampara|Ampara|||Ampara|Ampara|Øðè-Ëàíêà|Øðè-Ëàíêà|8.301486|8.301486|80.427900|80.427900
ADQ|ADQ|||Kodiak Airport|Kodiak Airport|||Kodiak|Kodiak|ÑØÀ|ÑØÀ|57.749968|57.749968|-152.493855|-152.493855
ADR|ADR|||Andrews|Andrews|||Andrews|Andrews|ÑØÀ|ÑØÀ|33.451700|33.451700|-79.526177|-79.526177
ADS|ADS|||Addison Airport|Addison Airport|Äàëëàñ|Äàëëàñ|Dallas|Dallas|ÑØÀ|ÑØÀ|32.968559|32.968559|-96.836448|-96.836448
