№ сертификата  эксплуатанта;Наименование списочное;Наименование полное;Аэропорты  базирования;Типы, количество ВС 
532;Ельцовка АП ЗАО;ЗАО «Авиапредприятие «Ельцовка»;Новосибирск (Ельцовка);Ми-8  (1), Ми-8Т  (16)
479;Ижавиа ОАО;Открытое акционерное общество  «Ижавиа»;Ижевск;Ан-24РВ  (1), Як-42Д  (7)
36;Икар ООО;Общество с ограниченной ответственностью «Авиакомпания «Икар»;Красноярск (Емельяново);B-737-800  (1), B-737-83N  (2), B-767-300  (7)
480;ИрАэро АК АО;Акционерное Общество  Авиакомпания «ИрАэро»;Иркутск  Магадан (Сокол);CL-600-2B19  (1), CL-600-2B19 (CRJ-200)  (1), CL-600-2B19 (CRJ-200LR)  (2), Ан-24РВ  (8), Ан-26  (3), Ан-26Б  (3), Ан-26Б-100  (1)
356;Казанское авиапредприятие;Открытое акционерное общество  «Казанское авиапредприятие»;Казань;Ми-8ПС-11  (1), Ми-8Т  (3)
566;Камчатское АП ОАО;Открытое акционерное общество «Камчатское авиационное предприятие»;Петропавловск-Камчатский (Елизово)  Тиличики;L-410 UVP-E20  (3), L-410UVP-E  (2), Ан-26Б-100  (2), Ан-26-100  (1), Ан-28  (1), Ми-8МТВ-1  (1), Ми-8Т  (4), Як-40  (1), Як-40К  (1)
165;Когалымавиа ООО;Общество с ограниченной ответственностью «Авиакомпания Когалымавиа»;Москва (Домодедово);A-321  (1), A-321-211  (1), A321-231  (2)
174;Комиавиатранс ОАО;Открытое акционерное общество «Комиавиатранс»;Печора  Сыктывкар  Ухта;EMB-145LR  (5), L-410 UVP-E20  (2), Ми-8  (1), Ми-8АМТ  (1), Ми-8МТВ-1  (2), Ми-8Т  (19)
419;Конверс Авиа;Закрытое акционерное общество  «Авиационная компания Конверс Авиа»;Тверь (Змеево);R44  (1), Ми-2  (10), Ми-8АМТ  (1), Ми-8МТВ-1  (1), Ми-8ПС-11  (1), Ми-8Т  (11)
444;Космос;ЗАО «Производственное объединение «Космос»  Ракетно-космической корпорации  «Энергия» имени С.П.Королева»;Москва (Внуково);Ан-12БП  (1), Ту-134А-3  (2), Ту-134Б-3  (1)
489;Костромское АП ОАО;Открытое акционерное общество «Костромское авиапредприятие»;Кострома (Сокеркино);Ан-2П  (1), Ан-26Б  (1), Ан-26Б-100  (1), Ан-26-100  (1), Ми-2  (3)
484;КрасАвиа;Государственное предприятие Красноярского края «КрасАвиа»;Байкит  Енисейск  Красноярск (Емельяново)  Красноярск (Черемшанка)  Тура (МВЛ)  Хатанга;L-410 UVP-E20  (5), R66  (2), Ан-2  (1), Ан-24РВ  (4), Ан-26Б-100  (4), Ан-3Т  (1), Ан-32А  (1), Ми-8АМТ  (2), Ми-8МТВ-1  (1), Ми-8Т  (21), Як-42Д  (8)
467;Летные  проверки и системы;Закрытое акционерное общество «Летные проверки и системы»;Тамбов (Донское);Ан-26  (3)
469;ЛУКОЙЛ-АВИА ООО;Общество с ограниченной ответственностью «ЛУКОЙЛ-АВИА»;Астрахань  Москва (Шереметьево);Ми-8МТВ-1  (6), Як-40  (1)
546;МАЦ;Государственное казенное учреждение города Москвы «Московский авиационный центр»;Остафьево;BK-117C-2  (3)
238;Меридиан;Акционерное общество «Авиакомпания «Меридиан»;Бугульма  Москва (Внуково);CL-600-2B16 (CL-604)  (1), Gulfstream IV-SP  (1), G450  (1), Hawker-750  (1), Ту-134Б-3  (1)
8;МЧС России ФГУАП;Федеральное государственное унитарное авиационное предпряитие Министерства Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий;Москва (Домодедово)  Раменское  Сочи;Ил-76ТД  (1)
497;Нарьян-Марский ОАО;Акционерное общество «Нарьян-Марский объединенный авиаотряд»;Нарьян-Мар;Ан-2  (2), Ан-2Т  (1), Ан-2ТП  (4), Ми-8МТВ-1  (3), Ми-8Т  (10), Ми-8Т(П)  (1), Ми-8ТП  (1)
470;Нижневартовскавиа;Открытое акционерное общество «Нижневартовскавиа»;Нижневартовск;Ми-8АМТ  (7), Ми-8МТВ-1  (7), Ми-8П  (1), Ми-8ПС  (1), Ми-8Т  (8)
466;Нордавиа-регион.АЛ;ЗАО «Нордавиа-региональные авиалинии»;Архангельск (Талаги)  Москва (Шереметьево);B-737-500  (9)
568;Норильск Авиа;Акционерное общество «Норильск Авиа»;;Ми-8МТВ  (1), Ми-8МТВ-1  (1), Ми-8Т  (5)
244;Оренбургские АЛ АО;Акционерное общество «Оренбургские авиалинии»;Москва (Домодедово)  Оренбург;B-737-8AS  (4), B-737-8GJ  (2), B-737-8K5  (1), B-737-8LJ  (3), B-737-8Q8  (1), B-737-800  (2), B-737-86N  (3), B-777-2Q8  (3)
542;ПАНХ АК ООО (Улан-Удэ);Общество с ограниченной ответственностью «Авиационная компания «ПАНХ»;Улан-Удэ (Мухино);Cessna-208B  (3), L-410 UVP-E20  (2), Ан-2  (3)
69;ПАНХ НПК ОАО;Открытое акционерное общество научно-производственная компания «ПАНХ»;Краснодар (Пашковский);BK-117C-2  (1), EC-135 T2+  (3), В-3 «Сокол»  (1), Ка-32АО  (4), Ка-32С  (3), Ка-32Т  (3), Ми-26Т  (2), Ми-8МТВ-1  (5), Ми-8ПС  (1), Ми-8ПС-9  (1), Ми-8Т  (4)
564;Петрозаводск Аэропорт;Бюджетное учреждение Республики Карелия «Аэропорт «Петрозаводск»;Петрозаводск (Бесовец);Ми-8Т  (3)
562;Победа;Общество с ограниченной ответственностью «Авиакомпания «Победа»;Москва (Внуково);B-737-800  (12)
538;Полярные авиалинии АО;Акционерное общество « Авиакомпания «Полярные Авиалинии»;Батагай  Зырянка  Маган  Нюрба  Тикси  Якутск;DA 40 NG  (2), L-410UVP-E  (4), PC-6/B2-H4  (1), Ан-2  (3), Ан-24РВ  (5), Ан-26Б  (1), Ан-26Б-100  (1), Ан-26-100  (2), Ан-3Т  (4), Ми-8  (1), Ми-8МТВ-1  (3), Ми-8Т  (13)
465;Псковавиа;Открытое акционерное общество «Псковавиа»;Псков;Ан-24РВ  (6), Ан-26Б  (2)
57;Ред Вингс АО;Акционерное общество «Ред Вингс»;Москва (Внуково)  Москва (Домодедово);RRJ-95B  (5), Ту-204-100  (3), Ту-204-100В  (2), Ту-204-100В-04  (2)
547;РКП «АК «Тува Авиа»;Республиканское казенное предприятие «Авиакомпания «Тувинские авиационные линии»;Кызыл;Ан-2  (2), Ми-8Т  (2)
2;Россия Авиакомпания АО;Акционерное общество «Авиакомпания «Россия»;Санкт-Петербург (Пулково);A-319-111  (13), A319-112  (2), A-319-114  (1), A320-214  (7)
530;Россия СЛО;Федеральное государственное бюджетное учреждение «Специальный летный отряд «Россия» Управления делами Президента Российской Федерации;Москва (Внуково);
514;Роствертол-Авиа, ЗАО;Закрытое акционерное общество «Авиакомпания «Роствертол-Авиа»;Ростов-на-Дону;Ми-2  (1), Ми-26Т  (1)
198;РОЯЛ ФЛАЙТ;Акционерное общество «Авиакомпания «РОЯЛ ФЛАЙТ»;Абакан  Москва (Шереметьево);B737-808  (1), B-757-200  (5)
498;РусДжет;Открытое акционерное общество «Авиакомпания «РусДжет»;Москва (Внуково);BAe 125-800B  (1), EMB-135BJ  (1), RRJ-95B  (1), Як-42Д  (2)
225;РусЛайн;Закрытое акционерное общество Авиационная компания «РусЛайн»;Москва (Внуково)  Москва (Домодедово);CL-600-2B19  (1), CL-600-2B19 (CL-850)  (1), CL-600-2B19 (CRJ-100ER)  (1), CL-600-2B19 (CRJ-100LR)  (4), CL-600-2B19 (CRJ-200)  (1), CL-600-2B19 (CRJ-200LR)  (5), EMB-120ER  (1)
553;РУССЭЙР;Закрытое акционерное общество «Авиационная компания «РУССЭЙР»;Санкт-Петербург (Пулково);AW109SP  (2), AW139  (2), BK-117C-2  (1), EC-155 B1  (3), FALCON-7X  (1)
102;Саратовские авиалинии;Открытое акционерное общество «Саратовские авиалинии»;Саратов (Центральный);ERJ 190-200IGW  (2), Як-42Д  (7)
516;Северный Ветер;Общество с ограниченной ответственностью «Северный Ветер»;Москва (Шереметьево);A-321  (7), B737-8BK  (2), B-737-800  (1), B-767-300  (2), B777-2Q8ER  (1), B777-200  (2)
548;Северо-Запад;Общество с ограниченной ответственностью  «Авиакомпания «Северо-Запад»;Печора  Санкт-Петербург (Пулково);EC-120B  (1), Ми-8ПС  (1), Ми-8ПС-11  (1), Ми-8Т  (4)
251;СЕВЕРСТАЛЬ АП ООО;Общество с ограниченной ответственностью «Авиапредприятие «Северсталь»;Череповец;CL-300 (BD-100-1A10)  (1), CL-600-2B19  (6), Як-40  (1)
99;СИБИА;Общество с ограниченной ответственностью «АВИАКОМПАНИЯ «СИБИА»;Курган;Ан-2  (3)
31;Сибирь;Публичное  акционерное общество «Авиакомпания «Сибирь»;Москва (Домодедово)  Новосибирск (Толмачево);A-319-111  (1), A-319-114  (19), A320-214  (19), A-321-211  (4), B-767-328  (1), B-767-33A  (1)
552;СиЛА;0бщество с ограниченной ответственностью «Сибирская Легкая Авиация»;Магадан(Сокол);Ан-28  (4)
246;СИМАРГЛ;Общество с ограниченной ответственностью «Авиакомпания «СИМАРГЛ»;Нальчик;Ми-2  (1)
207;СИРИУС-АЭРО;Общество с ограниченной ответственностью Авиакомпания «Сириус-Аэро»;Москва (Внуково);Hawker 850 XP  (2), HS-125-700A  (1), HS-125-700B  (2), ВАе 125-1000  (1), Ту-134А-3  (1), Ту-134Б  (1), Ту-134Б-3  (1)
228;СКОЛ;Общество с ограниченной ответственностью «Авиакомпания «СКОЛ»;Красноярск (Черемшанка);AS-350B3  (2), Cessna-208B  (2), Ми171  (2), Ми-26Т  (7), Ми-8АМТ  (1), Ми-8Т  (8), Як-40  (2)
452;Таймыр ОАО;Открытое акционерное общество «Авиакомпания «Таймыр»;Красноярск (Емельяново)  Москва (Домодедово);ATR 42-500  (5), B-737-300  (1), B-737-800  (9), Ми-8МТВ-1  (2), Ми-8Т  (4)
359;Тулпар Эйр;Общество с ограниченной ответственностью  «Авиакомпания «Тулпар Эйр»;Казань;BD-700-1A11 (Global 5000)  (1), CL-300 (BD-100-1A10)  (2), CL-600-2B19 (CL-850)  (1)
90;ТУРУХАН;Общество с ограниченной ответственностью Авиакомпания «Турухан»;Туруханск;Ан-24РВ  (15), Ан-26Б  (1), Ан-26-100  (1), Ми-8МТВ-1  (2), Ми-8Т  (16), Ту-134А  (2), Ту-134А-3  (1), Як-42Д  (1)
540;Уктус;Акционерное общество «Авиакомпания «Уктус»;Екатеринбург (Кольцово);L-410 UVP-E20  (1), Ан-74Д  (1), Ан-74ТК-100  (1)
565;Универсал-Авиа ГУП РК;Государственное унитарное предприятие Республики Крым «Универсал-Авиа»;Симферополь (Заводское);Ми-8МТВ-1  (3), Ми-8Т  (1)
18;Уральские авиалинии;ОАО Авиакомпания «Уральские авиалинии»;Екатеринбург (Кольцово)  Москва (Домодедово);A319-112  (6), A320-214  (18), A-320-232  (1), A-321-211  (9), A321-231  (1)
459;Хабаровские Авиалинии;Краевое государственное унитарное предприятие «Хабаровские авиалинии»;Николаевск-на-Амуре  Хабаровск (Новый);L-410 UVP-E20  (3), Ан-24РВ  (3), Ан-26Б  (2), Ан-26Б-100  (1), Ан-26-100  (1)
108;ЧукотАВИА;Государственное предприятие Чукотского автономного округа «ЧукотАВИА»;Анадырь (Угольный);DHC-6 Series 400 Twin Otter  (4), Ан-24РВ  (1), Ан-26Б  (1), Ан-26Б-100  (2), Ми-8МТВ-1  (1), Ми-8Т  (8)
208;ШАР инк Лтд.;Общество с ограниченной ответственностью «Производственная многоотраслевая авиакомпания «Шар инк. Лтд»;Остафьево  Ярославль(Туношна);Ан-74Д  (1), Ан-74ТК-100  (2), Ан-74ТК-100С  (1), Ил-76ТД  (2), Ил-76ТД-90  (1)
501;ЭйрБриджКарго;Общество с ограниченной ответственностью «Авиакомпания ЭйрБриджКарго»;Москва (Шереметьево);B-737-400  (2), B-747-400F  (7), B-747-8F  (8)
